Loc;Dev;DevSoc;DevHum;DevInfra;IntFu;N_acords
MEX;0;0,0;0,0;0,0;0,0;2,0
MEX;1;1,0;0,0;0,0;0,0;1,0
MEX;2;3,0;0,0;0,0;0,0;3,0
MKD;2;0,5;0,0;0,5;0,5;0,5
MLI;0;0,0;0,0;0,0;3,0;12,0
MLI;1;3,0;2,0;1,0;3,0;5,0
MLI;2;1,0;0,0;0,0;1,0;1,0
MLI;3;3,0;0,0;1,0;3,0;3,0
MMR;0;0,0;0,0;0,0;1,0;10,0
MMR;1;12,0;0,0;1,0;0,0;12,0
MMR;2;11,0;4,0;2,0;2,0;12,0
MMR;3;1,0;1,0;0,0;1,0;1,0
MNG;0;0,0;0,0;0,0;0,0;1,0
MOZ;0;0,0;0,0;0,0;2,0;10,0
MOZ;1;1,0;1,0;0,0;1,0;2,0
MOZ;2;0,0;1,0;0,0;1,0;1,0
NAM;0;0,0;0,0;0,0;0,0;2,0
NER;0;0,0;0,0;0,0;0,0;2,0
NER;1;1,0;0,0;0,0;0,0;1,0
NER;2;1,0;0,0;0,0;1,0;1,0
NER;3;1,0;1,0;0,0;1,0;1,0
NGA;0;0,0;0,0;0,0;0,0;5,5
NGA;1;2,5;0,0;2,0;0,0;3,5
NGA;2;2,0;0,0;0,0;0,0;2,0
NIC;0;0,0;0,0;0,0;0,0;4,0
NIC;1;0,0;1,0;0,0;0,0;1,0
NIC;2;0,0;1,0;0,0;0,0;1,0
NIC;3;1,2;0,0;0,0;0,2;1,2
NPL;0;0,0;0,0;0,0;2,0;34,0
NPL;1;8,0;0,0;0,0;0,0;8,0
NPL;2;4,0;0,0;3,0;3,0;5,0
NPL;3;4,0;1,0;2,0;1,0;4,0
PAK;0;0,0;0,0;0,0;0,5;8,0
PAK;1;2,0;0,0;0,0;0,0;2,0
PER;0;0,0;0,0;0,0;0,0;6,5
PER;1;0,5;0,0;0,0;0,5;0,5
PHL;0;0,0;0,0;0,0;3,0;91,0
PHL;1;61,0;0,0;1,0;14,0;62,0
PHL;2;2,0;0,0;1,0;1,0;3,0
PHL;3;2,0;0,0;0,0;1,0;2,0
PNG;0;0,0;0,0;0,0;4,0;26,0
PNG;1;6,0;0,0;0,0;0,0;6,0
PNG;2;1,0;0,0;1,0;0,0;1,0
PNG;3;2,0;0,0;1,0;0,0;2,0
PRK;0;0,0;0,0;0,0;0,0;1,5
